Year,Tecnology,State,Region,Node,Status,Brute capacity (MW),Investment (MXN* 10^6)
2016,Bioenergy,YUC,07-Peninsular,42-Merida,In construction,0.75,11.2596
2016,Eolic,YUC,07-Peninsular,42-Merida,About to start construction,30,1023.6
2016,Eolic,ZAC,03-Occidental,25-San Luis Potos,About to start construction,30,1023.6
2016,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,50,1706
2016,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,50,1706
2016,Eolic,JAL,03-Occidental,24-Aguascalientes,About to start construction,129,6824
2016,Eolic,COAH,06-Noreste,17-Saltillo,About to start construction,200.6,6844.472
2016,Eolic,CHIS,02-Oriental,39-Grijalva,In construction,19.965,681.2058
2016,Eolic,ZAC,03-Occidental,24-Aguascalientes,In construction,180,6141.6
2016,Eolic,ZAC,06-Noreste,17-Saltillo,About to start construction,70,2388.4
2016,Geotermic,PUE,02-Oriental,34-Puebla,In construction,26.62,1013.7321
2016,Hydroelectric,VER,02-Oriental,33-Veracruz,About to start construction,29.59,757.2081
2016,Hydroelectric,NAY,03-Occidental,22-Tepic,In construction,24,736.992
2016,Hydroelectric,JAL,03-Occidental,23-Guadalajara,In construction,6,153.54
2016,Hydroelectric,JAL,03-Occidental,23-Guadalajara,In construction,8,204.72
2016,Nuclear,VER,02-Oriental,33-Veracruz,Maintenance project,110,5092.346
2016,Solar,SON,04-Noroeste,02-Cananea,In construction,20,1194.2
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,29.136,1739.71056
2016,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1791.3
2016,Solar,QR,07-Peninsular,44-Chetumal,Processing generation permit with the CRE,30,1204.2654
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2016,Solar,GTO,03-Occidental,30-Queretaro,In construction,30,1791.3
2016,Solar,GTO,03-Occidental,30-Queretaro,In construction,30,1791.3
2016,Solar,SON,04-Noroeste,03-Obregon,In construction,30,1791.3
2016,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,25,1492.75
2016,Solar,JAL,03-Occidental,23-Guadalajara,In construction,14.385,858.92835
2016,Solar,JAL,03-Occidental,23-Guadalajara,In construction,14.385,858.92835
2016,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,5,298.55
2016,Solar,MEX,01-Central,31-Central,In construction,20,1092.693
2016,Solar,DGO,05-Norte,10-Durango,Processing generation permit with the CRE,50,2007.109
2016,Solar,SON,04-Noroeste,01-Hermosillo,In construction,26.66,1591.8686
2016,Solar,CHIH,05-Norte,08-Moctezuma,In construction,20,1194.2
2016,Solar,ZAC,06-Noreste,17-Saltillo,Processing generation permit with the CRE,100,4014.218
2016,Solar,GTO,03-Occidental,30-Queretaro,About to start construction,30,1791.3
2016,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1791.3
